ingredient_name,ingredient_image_url
rau thơm,https://benhvienk.vn/data/media/1601/images/449744702_870165078480068_4553931527616634873_n.jpg
dưa leo,https://upload.wikimedia.org/wikipedia/commons/a/a3/Cucumber_BNC.jpg
cà chua,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bright_red_tomato_and_cross_section02.jpg/1200px-Bright_red_tomato_and_cross_section02.jpg
trứng gà,https://cdn-www.vinid.net/1e221266-shutterstock_113786020-1.jpg
hành lá,https://upload.wikimedia.org/wikipedia/commons/d/da/CSA-Red-Spring-Onions.jpg
thịt gà,https://i-giadinh.vnecdn.net/2023/07/02/Buoc-4-4-7427-1688289576.jpg
bột mì,https://cdn.tgdd.vn/2021/06/CookProduct/Untitled-2-1200x676.jpg
bột bắp,https://cdn.tgdd.vn/2020/07/CookProduct/1-1200x676-4.jpg
thịt heo,https://cdn.tgdd.vn/2021/05/CookProduct/0-1200x676-2.jpg
bún,https://www.huggies.com.vn/-/media/Project/bun-bao-nhieu-calo-thumbnail.jpeg
rau sống,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rau_s%E1%BB%91ng.jpg/1200px-Rau_s%E1%BB%91ng.jpg
nước mắm,https://i.ytimg.com/vi/nCCc7zB5vp8/maxresdefault.jpg
tỏi,https://traphaco.com.vn/upload/images/Tin%20t%E1%BB%A9c/2017/Cay%20thuoc%20quy/toi2.jpg
ớt,https://product.hstatic.net/200000423303/product/ot-hiem-huu-co_a6c54b2368ce4072b749bfa06ed3a959.jpg
gạo,https://cdn.tgdd.vn/2021/06/CookProduct/thumbgao-1200x676.jpg
tôm,https://product.hstatic.net/1000182631/product/resize_anh-5273-8_90c0dbcc949944738551635fe608e950_master.png
mực,https://product.hstatic.net/1000182631/product/squid-pic-1300x971-697d48b_master.png
mì,https://cdn.tgdd.vn/2021/04/CookProduct/mthum-1200x676.jpg
rau cải,https://dyh48pub5c8mm.cloudfront.net/home/store/5087/s3_5087_2024092023190135109.png
thịt bò,https://bactom.com/wp-content/uploads/2023/06/thitbo_TNJU.jpg
nấm,https://cdn.tgdd.vn/2020/09/CookProduct/Cach-chon-va-so-che-cac-loai-nam-thong-dung-su-dung-trong-cac-mon-an-1-1200x676.jpg
sả,https://dhfoods.com.vn/vnt_upload/File/Image/cong_dung_cua_sa_viet_nam_den_tu_giong_sa_chanh.jpg
lá chanh,https://phunuvietnam.mediacdn.vn/179072216278405120/2023/5/9/lemon-leaves-16836065471011908710515.jpg
bánh phở,https://cdn.tgdd.vn/2021/11/CookDish/cach-lam-banh-pho-tuoi-tai-nha-cuc-de-lam-pho-dai-ngon-khong-avt-1200x676.jpg
quế,https://dhfoods.com.vn/vnt_upload/File/Image/que_la_mot_trong_4_bai_thuoc_dan_gian.jpg
gừng,https://dienbientv.vn/dataimages/202011/original/images2954549_gung.jpg
hoa hồi,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/hoa_hoi_co_tac_dung_gi_cac_bai_thuoc_dan_gian_tu_hoa_hoi_2_Cropped_dc519f58a9.jpg
giò heo,https://baf.vn/wp-content/uploads/2022/02/chan-gio-sau.png
mắm ruốc,https://nuocmamlegia.com/wp-content/uploads/2020/07/ruoc-cha-le-gia.jpg
cua đồng,https://i.ytimg.com/vi/LS7cgSIsPjM/maxresdefault.jpg
đậu hũ,https://cdn.tgdd.vn/2021/09/CookProduct/maxresdefault(1)-1200x676.jpg
hành phi,https://i.ytimg.com/vi/DF7rGZuscik/maxresdefault.jpg
đậu phộng,https://tantanvietnam.com/uploads/phan%20biet%20cac%20loai%20dau%20phong%20(3).jpg
cá lóc,https://tancang-catering.com.vn/wp-content/uploads/2020/09/Thiet-ke-khong-ten-4-2.png
mắm cá,https://cdn.tgdd.vn/2021/08/CookProduct/thum-1200x676-13.jpg
ốc bươu,https://cdn.tgdd.vn/Products/Images/8782/306941/bhx/oc-buou-song-1kg-202305081432155111.jpg
măng,https://lh4.googleusercontent.com/oZDWYxkp5gMTgXUx4x9y5opNVTzAi_qE9qZYLZdPjuI7fpTafxHBc6eLxxq1OHez_URYSFwdAPVX0Ca-L-qqdx-uz08d0NNUzIutrMfFO0xuHhUjwqEH9vPrqAxkmKUkzTYRyF-r
chả lụa,https://giochatuongvy.com/wp-content/uploads/2023/10/CHA-LUA-LA-CHUOI.jpg
mọc,https://cdn.tgdd.vn/2022/05/CookDish/cach-lam-moc-vien-nam-huong-don-gian-trang-dai-chuan-vi-thom-avt-1200x676.jpg
sườn heo,https://product.hstatic.net/200000074883/product/suon-non_dc354f8e32464a5fb11ce3a0ef3c5184_master.jpg
chả cá,https://i.ytimg.com/vi/ZLwCwyIDJJ4/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC28T49o72JuvhoihtNNUQvmAyCWA
chả cốm,https://file.hstatic.net/200000918737/article/ge13-1676533804-669-width2000height1500-1676534234-width2000height1500_798d8bc481aa45f181b155fa480aa9b5.jpg
chả giò,https://assets.unileversolutions.com/recipes-v2/157768.jpg
nem nướng,https://www.huongnghiepaau.com/wp-content/uploads/2019/01/nem-nuong-mien-tay620x400.jpg
nem chua,https://cdn2.fptshop.com.vn/unsafe/Uploads/images/tin-tuc/172686/Originals/cach-lam-nem-chua-1.jpg
nem rán,https://i-giadinh.vnecdn.net/2024/02/06/Thanh-pham-1-1-4778-1707205070.jpg
bánh tráng,https://lh3.googleusercontent.com/proxy/9VcLESZN7mJRG-HW3l6CmqFVtUTpO_-HNKjeXtgFcXLlj52gs_PRC2REJBtwzVQoskcVqTzB4hBH2mKFfzhnvLhnj57spw
bánh mì,https://uniflour.vn/upload/news/banh-mi-viet-nam1582770898.JPG
thịt nguội,https://banhmibahuynh.vn/wp-content/uploads/2023/09/Thit-nguoi.jpg
dưa chua,https://i-giadinh.vnecdn.net/2023/10/24/Thanh-pham-1-1-5790-1698131360.jpg
rau mùi,https://cdn.tgdd.vn/2021/01/CookProduct/Cilando-rau-mui-la-gi-cong-dung-va-cach-phan-biet-voi-rau-mui-tay-1-1200x676.jpg
nước tương,https://cdn.tgdd.vn/2021/01/CookProduct/1-1200x676-66.jpg
đường,https://cdn.tgdd.vn/2020/12/CookProduct/1-1200x676-16.jpg
tiêu,https://cerafoods.com/wp-content/uploads/2023/09/Hat-tieu-tay-nguyen-1.jpg
miến,https://upload.wikimedia.org/wikipedia/commons/d/df/Dongfen.JPG
nấm mèo,https://product.hstatic.net/200000240163/product/nammeo_e7aa461c38e8410f9cdddda4c818f159_master.jpg
bột gạo,https://cdn.tgdd.vn/2020/12/CookProduct/Bot-gao-la-gi-cach-phan-biet-bot-gao-te-va-bot-gao-nep-0-1200x676.jpg
nước dừa,https://phunuvietnam.mediacdn.vn/179072216278405120/2022/10/6/nuoc-dua-co-gas-khong-1665024949525351813715.jpg
hủ tiếu,https://cdn.tgdd.vn/2021/10/CookDish/cac-cach-bao-quan-hu-tieu-tuoi-va-kho-don-gian-va-hieu-qua-avt-1200x676.jpg
gạo nếp,https://tvfood.com.vn/vnt_upload/news/09_2023/gao_nep_la_gi.jpg
đậu xanh,https://cdn.tgdd.vn/2021/11/CookDish/cach-nau-dau-xanh-nhanh-mem-va-cach-chon-mua-dau-xanh-ngon-bo-avt-1200x676.jpg
lá dong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/The_dong_leaf.jpg/1200px-The_dong_leaf.jpg
lá chuối,https://png.pngtree.com/png-clipart/20191122/original/pngtree-tree-banana-leaf-png-image_5164291.jpg
bánh canh,https://cdn.tgdd.vn/2021/10/CookDish/cach-lam-soi-banh-canh-bang-bot-loc-bot-nang-sieu-don-gian-de-avt-1200x676.jpg
cua,https://bizweb.dktcdn.net/100/493/150/products/470230930-122130689744544327-1084346361642694428-n.jpg?v=1734808120137
cà tím,https://www.vinmec.com/static/uploads/20201204_164616_521778_tim_157016586123713_max_1800x1800_jpg_9b877fb16b.jpg
khoai tây,https://product.hstatic.net/200000423303/product/khoai-tay-vang-huu-co_dda09b99ce344826bf3060fc1e0d9281_1024x1024.jpg
cà rốt,https://cdn.tgdd.vn/2021/09/CookDish/cach-chon-mua-va-cach-bao-quan-ca-rot-tuoi-lau-mot-cach-hieu-avt-1200x676-2.jpg
bột cà ri,https://suckhoedoisong.qltns.mediacdn.vn/thumb_w/1200/324455921873985536/2021/8/10/bot-ca-ri-1628610175860654068605-0-0-426-682-crop-16286101794531215727282.jpg
bột năng,https://upload.wikimedia.org/wikipedia/commons/6/64/All-Purpose_Flour_%284107895947%29.jpg
bánh đa,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/banh_da_do_4_da1b5bf259.jpg
rau muống,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-asm/blog/rau-muong-giau-dinh-duong.webp
lá gai,https://viramie.vn/wp-content/uploads/2020/06/C%C3%A2y-gai-xanh-An-Ph%C6%B0%E1%BB%9Bc-AP-3.jpg
mè trắng,https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2023/9/26/cong-dung-tuyet-voi-cua-hat-vung-doi-voi-suc-khoe-169570229736928962296.jpeg
pate,https://cdn.tgdd.vn/2021/06/CookProduct/pate-la-gi-loi-ich-cua-viec-an-pate-va-nhung-luu-y-khi-su-1-1200x676.jpg
lá dứa,https://ogida.vn/wwwroot/resources/upload/img/product/8-2023/37.png
khoai mì,https://images-handler.kamereo.vn/eyJidWNrZXQiOiJpbWFnZS1oYW5kbGVyLXByb2QiLCJrZXkiOiJzdXBwbGllci82NTQvUFJPRFVDVF9JTUFHRS9hY2U0Y2M4Yi05ZTQxLTQzNDgtYjNlNC0wOGY3ZmRlMjcyNmEud2VicCJ9
chuối sứ,https://cdn.tgdd.vn/Products/Images/8788/232743/bhx/chuoi-su-trai-tu-40g-90g-202408201633339813.jpg
sữa,https://cdn.tgdd.vn/2021/11/CookDish/sua-nguyen-kem-la-gi-co-may-loai-va-cach-phan-biet-voi-cac-avt-1200x676.jpg
vanilla,https://www.synergytaste.com/wp-content/uploads/sites/2/2021/10/Vanilla-3-WP.jpg
đậu đỏ,https://hanuti.vn/wp-content/uploads/2023/12/hat-dau-do-.png
đậu đen,https://cdn.youmed.vn/tin-tuc/wp-content/uploads/2020/04/dau-den-1-1-scaled.jpg
nước,https://file.hstatic.net/1000394081/file/ly-do-can-phan-biet-nuoc-uong_80a481315adc46db87cd0bb77ad6a2c0.jpg
muối,https://images2.thanhnien.vn/528068263637045248/2025/4/5/2-muoi-1743834190965333050945.jpg
bắp mỹ,https://bizweb.dktcdn.net/100/010/432/products/56a99a7415f82db764ecdbaa17ed2e72.jpg?v=1637635209733
khoai môn,https://cdn-bafil.nitrocdn.com/brIjHWLgwndqujcHHxaCshZRYHXCVPHO/assets/images/optimized/rev-633ecd2/doiduavang.vn/wp-content/uploads/2021/04/loi-ich-dinh-duong.jpg
khoai lang,https://cdn.tgdd.vn/Products/Images/8785/220470/bhx/khoai-lang-nhat-202312280948119950.jpg
hạt sen,https://product.hstatic.net/200000480313/product/192706506_119733366951269_5924752374905949102_n_0d4afbd1e1de416190a88d7ddb1f262a_master.jpg
đậu nành,https://images2.thanhnien.vn/528068263637045248/2023/12/9/2-hinh-17021154246914527614.jpg
đậu trắng,https://phuminhtam.com.vn/wp-content/uploads/2024/05/LTD_1384-scaled.jpg
trứng vịt,https://images2.thanhnien.vn/528068263637045248/2025/4/4/white-eggs-yolk-black-plate-1743783894724967604882.jpg
khoai mỡ,https://cdn.tgdd.vn/Products/Images/8785/233886/bhx/khoai-mo-202312271420168720.jpg
rong biển,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-asm/posts/rong-bien-1.webp
cốm khô,https://cdnv2.tgdd.vn/mwg-static/common/Common/iudsduf.jpg
sữa đặc,https://cdn.tgdd.vn/2020/08/CookProduct/thumbcn-1200x676-12.jpg
bột nếp,https://cdn.tgdd.vn/2021/08/CookProduct/thumb-1200x676-27.jpg
dầu ăn,https://cdn.tgdd.vn/2020/08/CookProduct/cach-chon-dau-an-sach-va-su-dung-dau-an-toan0-1200x676.jpg
lá lốt,https://cdn2.tuoitre.vn/thumb_w/1200/2017/hinh-3-1512184923014.jpg
thịt vịt,https://thanhnien.mediacdn.vn/Uploaded/camlt/2022_05_01/anh-chup-man-hinh-2022-05-01-luc-22-26-42-9174.png
thạch,https://dayphache.edu.vn/wp-content/uploads/2019/11/thach-tra-sua.jpg
